질문번호,질문,1순위,2순위,3순위,답변항목 설명
q12_2_2_3,"12-2-2. 다음 중 귀댁의 소비가 감소한 품목은 무엇입니까? 감소한 소비 항목을 3가지 선택해 주십시오. 
(3순위)","nan (1549명, 74.4%)","10.0 (119명, 5.7%)","7.0 (62명, 3.0%)","① 식품외식
② 의류
③ 주거․가정
④ 의료․케어
⑤ 교육
⑥  ICT
⑦ 자동차․교통
⑧ 금융․보험
⑨ 생활위생․미용
⑩ 문화․여가
⑪ 기타"
q12_2_2_3_op,12-2-2. (3순위) (기타 오픈응답),"nan (2081명, 100.0%)",,,
q13_1,"13. 2024년 12월 3일 비상계엄령 선포 이후, 다음의 유통 채널에서 소비량에 변화가 있었습니까? 
_1. 백화점(롯데, AK, 갤러리아 등)과 아울렛","3 (1003명, 48.2%)","2 (402명, 19.3%)","4 (368명, 17.7%)","① 매우 감소했다
② 약간 감소했다
③ 변화없다
④ 약간 증가했다
⑤ 매우 증가했다"
q13_2,"13. 2024년 12월 3일 비상계엄령 선포 이후, 다음의 유통 채널에서 소비량에 변화가 있었습니까? 
_2. 대형마트(이마트, 홈플러스 등)","3 (847명, 40.7%)","4 (458명, 22.0%)","2 (452명, 21.7%)","① 매우 감소했다
② 약간 감소했다
③ 변화없다
④ 약간 증가했다
⑤ 매우 증가했다"
q13_3,"13. 2024년 12월 3일 비상계엄령 선포 이후, 다음의 유통 채널에서 소비량에 변화가 있었습니까? 
_3. 전통시장(못골시장, 수원 영동시장, 권선종합시장 등)","3 (882명, 42.4%)","4 (457명, 22.0%)","2 (411명, 19.8%)","① 매우 감소했다
② 약간 감소했다
③ 변화없다
④ 약간 증가했다
⑤ 매우 증가했다"
q13_4,"13. 2024년 12월 3일 비상계엄령 선포 이후, 다음의 유통 채널에서 소비량에 변화가 있었습니까? 
_4. SSM(이마트에브리데이·롯데슈퍼·GS더프레시·홈플러스익스프레스)","3 (956명, 45.9%)","2 (490명, 23.5%)","4 (349명, 16.8%)","① 매우 감소했다
② 약간 감소했다
③ 변화없다
④ 약간 증가했다
⑤ 매우 증가했다"
q13_5,"13. 2024년 12월 3일 비상계엄령 선포 이후, 다음의 유통 채널에서 소비량에 변화가 있었습니까? 
_5. 편의점(GS25·CU·세븐일레븐 등)","3 (941명, 45.2%)","2 (461명, 22.2%)","4 (395명, 19.0%)","① 매우 감소했다
② 약간 감소했다
③ 변화없다
④ 약간 증가했다
⑤ 매우 증가했다"
q13_6,"13. 2024년 12월 3일 비상계엄령 선포 이후, 다음의 유통 채널에서 소비량에 변화가 있었습니까? 
_6. 온라인 쇼핑몰 및 플랫폼(쿠팡, 아마존 등)","3 (928명, 44.6%)","4 (519명, 24.9%)","2 (379명, 18.2%)","① 매우 감소했다
② 약간 감소했다
③ 변화없다
④ 약간 증가했다
⑤ 매우 증가했다"
q14,"14. 귀댁의 생활형편은 1년 후에 현재 보다 좋아질 것 같습니까, 나빠질 것 같습니까, 혹은 비슷할 것 같습니까?","3 (933명, 44.8%)","2 (606명, 29.1%)","4 (313명, 15.0%)","① 많이 좋아질 것이다
② 조금 좋아질것이다
③ 비슷할 것이다
④ 조금 나빠질것이다
⑤ 많이 나빠질 것이다"
q14_1,14-1. 귀댁의 생활형편이 좋아질것으로 생각하시는 가장 큰 이유는 무엇입니까? ,"nan (1392명, 66.9%)","1.0 (153명, 7.4%)","3.0 (143명, 6.9%)","① 임금 등의 가계 소득 증가
② 부동산, 주식 등 보유자산의 가치 상승
③ 은행대출, 현금서비스, 외상구매대금 등의 가계부채 감소
④ 물가 안정
⑤ 사업환경 개선
⑥ 지출비용 감소 예정
⑦ 막연한 기대감
⑧ 기타(                       )"
q14_1_op,14-1. (기타 오픈응답),"nan (2074명, 99.7%)","내가 돈을 잘모아서 지금처럼벌고쓰면 조금씩 좋아짐 (1명, 0.0%)","정권교체 (1명, 0.0%)",
q14_2,14-2. 귀댁의 생활형편이 나빠질것으로 생각하시는 가장 큰 이유는 무엇입니까? ,"nan (1622명, 77.9%)","4.0 (122명, 5.9%)","1.0 (93명, 4.5%)","① 임금 등의 가계 소득 감소
② 부동산, 주식 등 보유자산의 가치 하락
③ 은행대출, 현금서비스, 외상구매대금 등의 가계부채 증가
④ 물가 상승
⑤ 퇴사, 폐업 등 수입 구조 변화
⑥ 지출비용 증가 예정
⑦ 시장 불안정성에 따른 경기 불황
⑧ 기타(                       )"
q14_2_op,14-2. (기타 오픈응답),"nan (2075명, 99.7%)","부동산대출 장애학생 학습지도 (1명, 0.0%)","구직실패 (1명, 0.0%)",
q15,"15. 만약 귀하의 생활 형편이 좋아질 것으로 예상된다면, 언제쯤 좋아질 것이라고 생각하십니까?","5 (679명, 32.6%)","3 (569명, 27.3%)","2 (448명, 21.5%)","① 1분기 이내(2025년 3월)
② 2분기 이내(2025년 4~6월)
③ 3분기 이내(2025년 7~9월)
④ 4분기 이내(2025년 10~12월)
⑤ 1년 이상(2026년 1월~)"
q16,16. 귀하의 혼인상태는 무엇입니까?,"1 (1050명, 50.5%)","2 (931명, 44.7%)","3 (77명, 3.7%)","① 미혼
② 기혼(배우자 있음) 
③ 이혼      
④ 별거  
⑤ 사별"
q16_1,"16-1. 귀댁의 영아기(만 0~2세), 유아기(만 3~6세), 초등학생 저학년 자녀(만 7~9세)가 있습니까?","nan (1050명, 50.5%)","2.0 (774명, 37.2%)","1.0 (257명, 12.3%)","① 있다
② 없다"
q16_2_1,16-2-1. 귀하의 가정은 다음 중 어디에 해당되십니까? _1. 가구형태 ,"nan (1824명, 87.7%)","1.0 (236명, 11.3%)","4.0 (9명, 0.4%)","① 부모와 자녀가 함께 거주
② (별거, 이혼 등의 사유로) 한부모와 자녀가 함께 거주
③ (학업, 직장 등의 사유로) 한부모와 자녀가 함께 거주
④ 조부모 + 부모 + 자녀가 함께 거주
⑤ 조부모 + (별거, 이혼 등의 사유로) 한부모 + 자녀가 함께 거주
⑥ 조부모 + (학업, 직장 등의 사유로) 한부모 + 자녀가 함께 거주
⑦ 기타(           )"
q16_2_1_op,16-2-1. _1. 가구형태 (기타 오픈응답),"nan (2081명, 100.0%)",,,
q16_2_2,16-2-2. 귀하의 가정은 다음 중 어디에 해당되십니까? _2. 맞벌이 여부 ,"nan (1824명, 87.7%)","3.0 (156명, 7.5%)","1.0 (92명, 4.4%)","① 자녀의 아버지만 일을 한다
② 자녀의 어머니만 일을 한다
③ 자녀의 부모 모두 일을 한다
④ 자녀의 부모 모두 일을 하지 않는다"
q17_1,"17. 귀하가 자녀를 양육하면서 겪는 어려움에 관련된 질문입니다. 해당되는 것을 선택해 주십시오. 
_1. 자녀양육에 필요한 정보가 부족하다.","nan (1824명, 87.7%)","3.0 (84명, 4.0%)","4.0 (81명, 3.9%)","① 전혀 그렇지 않다
② 별로 그렇지 않다 
③ 보통이다
④ 대체로 그렇다
⑤ 매우 그렇다"
q17_2,"17. 귀하가 자녀를 양육하면서 겪는 어려움에 관련된 질문입니다. 해당되는 것을 선택해 주십시오. 
_2. 자녀양육과 관련된 정보가 너무 다양하여 어떤 것 선택할지 혼란스럽다.","nan (1824명, 87.7%)","4.0 (81명, 3.9%)","5.0 (72명, 3.5%)","① 전혀 그렇지 않다
② 별로 그렇지 않다 
③ 보통이다
④ 대체로 그렇다
⑤ 매우 그렇다"
q17_3,"17. 귀하가 자녀를 양육하면서 겪는 어려움에 관련된 질문입니다. 해당되는 것을 선택해 주십시오. 
_3. 자녀를 돌봐 줄 사람이 없다.","nan (1824명, 87.7%)","5.0 (82명, 3.9%)","4.0 (77명, 3.7%)","① 전혀 그렇지 않다
② 별로 그렇지 않다 
③ 보통이다
④ 대체로 그렇다
⑤ 매우 그렇다"
q17_4,"17. 귀하가 자녀를 양육하면서 겪는 어려움에 관련된 질문입니다. 해당되는 것을 선택해 주십시오. 
_4. 자녀양육과 관련된 문제를 논의할 만한 사람이 없다.","nan (1824명, 87.7%)","4.0 (83명, 4.0%)","3.0 (76명, 3.7%)","① 전혀 그렇지 않다
② 별로 그렇지 않다 
③ 보통이다
④ 대체로 그렇다
⑤ 매우 그렇다"
q17_5,"17. 귀하가 자녀를 양육하면서 겪는 어려움에 관련된 질문입니다. 해당되는 것을 선택해 주십시오. 
_5. 자녀양육과 관련된 비용이 부담스럽다.","nan (1824명, 87.7%)","5.0 (125명, 6.0%)","4.0 (85명, 4.1%)","① 전혀 그렇지 않다
② 별로 그렇지 않다 
③ 보통이다
④ 대체로 그렇다
⑤ 매우 그렇다"
q17_6,"17. 귀하가 자녀를 양육하면서 겪는 어려움에 관련된 질문입니다. 해당되는 것을 선택해 주십시오. 
_6. 자녀와 함께 할 시간이 부족하다.","nan (1824명, 87.7%)","5.0 (96명, 4.6%)","4.0 (73명, 3.5%)","① 전혀 그렇지 않다
② 별로 그렇지 않다 
③ 보통이다
④ 대체로 그렇다
⑤ 매우 그렇다"
q17_7,"17. 귀하가 자녀를 양육하면서 겪는 어려움에 관련된 질문입니다. 해당되는 것을 선택해 주십시오. 
_7. 자녀양육을 하느라 신체적 건강이 나빠졌다.","nan (1824명, 87.7%)","3.0 (92명, 4.4%)","4.0 (63명, 3.0%)","① 전혀 그렇지 않다
② 별로 그렇지 않다 
③ 보통이다
④ 대체로 그렇다
⑤ 매우 그렇다"
q17_8,"17. 귀하가 자녀를 양육하면서 겪는 어려움에 관련된 질문입니다. 해당되는 것을 선택해 주십시오. 
_8. 자녀양육에 정신적으로 스트레스를 받는다.","nan (1824명, 87.7%)","3.0 (86명, 4.1%)","4.0 (84명, 4.0%)","① 전혀 그렇지 않다
② 별로 그렇지 않다 
③ 보통이다
④ 대체로 그렇다
⑤ 매우 그렇다"
q17_9,"17. 귀하가 자녀를 양육하면서 겪는 어려움에 관련된 질문입니다. 해당되는 것을 선택해 주십시오. 
_9. 자녀를 데리고 갈만한 문화시설(도서관, 박물관, 놀이공원 등)이 주변에 부족하다.","nan (1824명, 87.7%)","3.0 (91명, 4.4%)","4.0 (74명, 3.6%)","① 전혀 그렇지 않다
② 별로 그렇지 않다 
③ 보통이다
④ 대체로 그렇다
⑤ 매우 그렇다"
q18_1,"18. 지난 1년간 다음과 같은 상황들이 얼마나 자주 발생하였습니까? 
_1. 자녀양육에 필요한 정보가 부족하다.","nan (1824명, 87.7%)","5.0 (78명, 3.7%)","4.0 (58명, 2.8%)","① 전혀 발생하지 않았다
② 드물게 발생했다
③ 1년에 여러번 있었다
④ 한달에 여러번 있었다
⑤ 일주일에 여러번 있었다
⑥ 매일 발생했다
⑦ 지난 1년 동안 일을 한적이 없다"
q18_2,"18. 지난 1년간 다음과 같은 상황들이 얼마나 자주 발생하였습니까? 
_2. 업무에 소요되는 시간으로 인하여 가족 구성원으로서의 책임을 수행하기 어려운 적이 있었다","nan (1824명, 87.7%)","4.0 (68명, 3.3%)","5.0 (53명, 2.5%)","① 전혀 발생하지 않았다
② 드물게 발생했다
③ 1년에 여러번 있었다
④ 한달에 여러번 있었다
⑤ 일주일에 여러번 있었다
⑥ 매일 발생했다
⑦ 지난 1년 동안 일을 한적이 없다"
q18_3,"18. 지난 1년간 다음과 같은 상황들이 얼마나 자주 발생하였습니까? 
_3. 가족 구성원으로서의 책임으로 인하여 업무에 집중하기 어려운 적이 있었다","nan (1824명, 87.7%)","4.0 (59명, 2.8%)","3.0 (53명, 2.5%)","① 전혀 발생하지 않았다
② 드물게 발생했다
③ 1년에 여러번 있었다
④ 한달에 여러번 있었다
⑤ 일주일에 여러번 있었다
⑥ 매일 발생했다
⑦ 지난 1년 동안 일을 한적이 없다"
q19_1,"19. 귀하는 양육스트레스를 받았을 때 주로 어떻게 대처하십니까? 우선순위에 따라 3가지를 선택해 주십시오. 
(1순위)","nan (1824명, 87.7%)","1.0 (69명, 3.3%)","4.0 (53명, 2.5%)","① 신체활동(걷기, 운동 등)	
② 음주				
③ 흡연			
④ 영상물 시청(TV, DVD, IPTV, OTT, 유튜브 시청 등) 	
⑤ 온라인 게임		
⑥ 여행 			
⑦ 쇼핑				
⑧ 휴식 및 수면
⑨ 명상과 심호흡		
⑩ 맛있는 음식			
⑪ 가족․친구․지인 등과 대화     
⑫ 독서(소설책, 만화책, 웹툰 등) 	
⑬ 전문가와 상담	
⑭ 종교활동     	
⑮ 아무것도 하지 않는다 		
⑯기타(            )"
q19_1_op,19. (1순위) (기타 오픈응답),"nan (2081명, 100.0%)",,,
q19_2,"19. 귀하는 양육스트레스를 받았을 때 주로 어떻게 대처하십니까? 우선순위에 따라 3가지를 선택해 주십시오. 
(2순위)","nan (1824명, 87.7%)","8.0 (56명, 2.7%)","4.0 (38명, 1.8%)","① 신체활동(걷기, 운동 등)	
② 음주				
③ 흡연			
④ 영상물 시청(TV, DVD, IPTV, OTT, 유튜브 시청 등) 	
⑤ 온라인 게임		
⑥ 여행 			
⑦ 쇼핑				
⑧ 휴식 및 수면
⑨ 명상과 심호흡		
⑩ 맛있는 음식			
⑪ 가족․친구․지인 등과 대화     
⑫ 독서(소설책, 만화책, 웹툰 등) 	
⑬ 전문가와 상담	
⑭ 종교활동     	
⑮ 아무것도 하지 않는다 		
⑯기타(            )"
q19_2_op,19. (2순위) (기타 오픈응답),"nan (2081명, 100.0%)",,,
q19_3,"19. 귀하는 양육스트레스를 받았을 때 주로 어떻게 대처하십니까? 우선순위에 따라 3가지를 선택해 주십시오. 
(3순위)","nan (1824명, 87.7%)","8.0 (53명, 2.5%)","10.0 (41명, 2.0%)","① 신체활동(걷기, 운동 등)	
② 음주				
③ 흡연			
④ 영상물 시청(TV, DVD, IPTV, OTT, 유튜브 시청 등) 	
⑤ 온라인 게임		
⑥ 여행 			
⑦ 쇼핑				
⑧ 휴식 및 수면
⑨ 명상과 심호흡		
⑩ 맛있는 음식			
⑪ 가족․친구․지인 등과 대화     
⑫ 독서(소설책, 만화책, 웹툰 등) 	
⑬ 전문가와 상담	
⑭ 종교활동     	
⑮ 아무것도 하지 않는다 		
⑯기타(            )"
q19_3_op,19. (3순위) (기타 오픈응답),"nan (2081명, 100.0%)",,,
q20_1,"20. 귀하는 양육스트레스를 완화하기 위해 다음 중 어떠한 정책이 필요하다고 생각하십니까? 우선순위에 따라 2가지를 선택해 주십시오. 
(1순위)","nan (1824명, 87.7%)","3.0 (105명, 5.0%)","2.0 (49명, 2.4%)","① 부모 자조모임, 힐링토크 콘서트, 지역플랫폼 확대
② 부모 대상 자기계발/취미 프로그램 운영(예: 베이킹, 캘리그라피 등)
③ 부모만의 시간을 가질 수 있도록 돌봄 서비스 제공(예: 어린이집 야간 특화 프로그램을 활용하여 양육자만의 시간을 가질 수 있도록 서비스 제공)
④ 부모의 휴식을 위한 프로그램 기획(예: 수원 힐링 여행 프로그램, 외식 등 재충전 기회 제공)
⑤ 부모 대상 양육 컨설팅 실시
⑥ 임신․출산 후 산후조리서비스 등 신체건강관리서비스 제공
⑦ 기타(                      )"
q20_1_op,20. (1순위)  (기타 오픈응답),"nan (2076명, 99.8%)","돌봄 등의 대책이 아니라 근본대책인 근로시간 축소 등의 원천적인 정책이 필요함 (1명, 0.0%)","장애아동 방문 학습지도지원 장애학생 방학프로그램 증설 장애학생 방과후 증설 (1명, 0.0%)",
q20_2,"20. 귀하는 양육스트레스를 완화하기 위해 다음 중 어떠한 정책이 필요하다고 생각하십니까? 우선순위에 따라 2가지를 선택해 주십시오. 
(2순위)","nan (1824명, 87.7%)","4.0 (72명, 3.5%)","3.0 (52명, 2.5%)","① 부모 자조모임, 힐링토크 콘서트, 지역플랫폼 확대
② 부모 대상 자기계발/취미 프로그램 운영(예: 베이킹, 캘리그라피 등)
③ 부모만의 시간을 가질 수 있도록 돌봄 서비스 제공(예: 어린이집 야간 특화 프로그램을 활용하여 양육자만의 시간을 가질 수 있도록 서비스 제공)
④ 부모의 휴식을 위한 프로그램 기획(예: 수원 힐링 여행 프로그램, 외식 등 재충전 기회 제공)
⑤ 부모 대상 양육 컨설팅 실시
⑥ 임신․출산 후 산후조리서비스 등 신체건강관리서비스 제공
⑦ 기타(                      )"
q20_2_op,20. (2순위) (기타 오픈응답),"nan (2080명, 100.0%)","재정지원 (1명, 0.0%)",,
q21_1,"21. 수원시가 아이키우기 좋은 도시가 되기 위해서 필요한 정책은 무엇이라고 생각하십니까? 우선순위에 따라 2순위까지 응답해 주십시오. 
(1순위)","nan (1824명, 87.7%)","1.0 (81명, 3.9%)","2.0 (66명, 3.2%)","① 안심하게 아이를 돌볼 수 있는 서비스 지원(아픈아이 일시돌봄 병원동행 서비스, 365일 24시간 영유아 긴급 보육 등)
② 아이와 함께 갈수 있는 공간 조성(가족 화장실 조성, 가족배려 주차장 조성, 키즈 오케이존 조성 등)
③ 산모의 건강 회복 지원(산후 우울증 정신건강 서비스, 산모신생아 건강관리사 바우처 등)
④ 부모의 일생활 균형 지원(육아휴직 장려금, 가사서비스 지원, 퇴근길 가정 행복 도시락 밀키트 할인 지원)
⑤ 아동 양육을 위한 각종 수당 지원(아이돌봄비 지원, 조부모 돌봄 수당 등)
⑥ 기타(                           )"
q21_1_op,21. (1순위)  (기타 오픈응답),"nan (2079명, 99.9%)","장애학생 키즈카페 신설 장애학생방과후 증설 장애전담 방학돌봄프호그램 마련 (1명, 0.0%)","아동청소년친화도시라는 이름에 걸맞게 경기도나 정부에서 하는 정책들에 예산을 배치하길 바란다. 예산배치도 안하면서 이런 설문은 무색하다진정성을 느 (1명, 0.0%)",
q21_2,"21. 수원시가 아이키우기 좋은 도시가 되기 위해서 필요한 정책은 무엇이라고 생각하십니까? 우선순위에 따라 2순위까지 응답해 주십시오. 
(2순위)","nan (1824명, 87.7%)","4.0 (75명, 3.6%)","5.0 (63명, 3.0%)","① 안심하게 아이를 돌볼 수 있는 서비스 지원(아픈아이 일시돌봄 병원동행 서비스, 365일 24시간 영유아 긴급 보육 등)
② 아이와 함께 갈수 있는 공간 조성(가족 화장실 조성, 가족배려 주차장 조성, 키즈 오케이존 조성 등)
③ 산모의 건강 회복 지원(산후 우울증 정신건강 서비스, 산모신생아 건강관리사 바우처 등)
④ 부모의 일생활 균형 지원(육아휴직 장려금, 가사서비스 지원, 퇴근길 가정 행복 도시락 밀키트 할인 지원)
⑤ 아동 양육을 위한 각종 수당 지원(아이돌봄비 지원, 조부모 돌봄 수당 등)
⑥ 기타(                           )"
q21_2_op,21. (2순위) (기타 오픈응답),"nan (2080명, 100.0%)","아이와 갈만한곳이 수원은 많지않다 타직역으로가게됨 (1명, 0.0%)",,
DM1,성별,"2 (1152명, 55.4%)","1 (929명, 44.6%)",,"① 남성
② 여성"
DM2,나이,"40 (237명, 11.4%)","32 (141명, 6.8%)","35 (119명, 5.7%)",세
DM3,최종학력,"5 (1456명, 70.0%)","3 (264명, 12.7%)","4 (210명, 10.1%)","① 초등학교 
② 중학교  
③ 고등학교 
④ 전문대학 
⑤ 대학교 
⑥ 대학원(석사) 
⑦ 대학원(박사) "
DM4,수학상태,"5 (1896명, 91.1%)","4 (93명, 4.5%)","1 (55명, 2.6%)","① 재학
② 휴학
③ 중퇴
④ 수료
⑤ 졸업"
DM5,가구원 수,"1 (581명, 27.9%)","2 (535명, 25.7%)","3 (520명, 25.0%)",명
DM6,맞벌이 가구,"3 (1001명, 48.1%)","1 (711명, 34.2%)","2 (369명, 17.7%)","① 맞벌이
② 비맞벌이
③ 비해당 "
DM7,(지난 1년간) 월평균가구소득(세후),"4 (519명, 24.9%)","5 (356명, 17.1%)","8 (345명, 16.6%)","① 소득 없음
② 100만원 미만
③ 100만원 이상 ~200만원 미만
④ 200만원 이상 ~300만원 미만
⑤ 300만원 이상 ~400만원 미만
⑥ 400만원 이상 ~500만원 미만
⑦ 500만원 이상 ~600만원 미만
⑧ 600만원 이상 ~700만원 미만 
⑨ 700만원 이상"
DM8,고용상태,"2 (1202명, 57.8%)","3 (472명, 22.7%)","7 (133명, 6.4%)","① 고용주 및 자영업자 (DM8-1로 이동)
② 정규직 임금근로자 (DM8-1로 이동)
③ 비정규직 임금근로자(프리랜서 포함) (DM8-1로 이동)
④ 무급 가족종사자
⑤ 근로의사가 있으나 현재 직업 없음(취업준비 중, 미취업 포함) 
⑥ 은퇴자 
⑦ 근로의사 없음(주부, 학생 등) "
DM8_1,직업,"3.0 (932명, 44.8%)","4.0 (442명, 21.2%)","nan (304명, 14.6%)","① 관리자			
② 전문가 및 관련 종사자			
③ 사무종사자
④ 서비스종사자			
⑤ 판매종사자				
⑥ 농․림․어업종사자   
⑦ 기능원 및 관련 기능종사자   	
⑧ 장치, 기계조작 및 조립종사자 		
⑨ 단순노무종사자	
⑩ 군인(직업군인)			 	
⑪ 기타(        ) "
DM8_1_op,직업 (기타 오픈응답),"nan (2061명, 99.0%)","공무원 (2명, 0.1%)","프리랜서 (2명, 0.1%)",
DM9,주택형태,"1.0 (1404명, 67.5%)","3.0 (361명, 17.3%)","2.0 (212명, 10.2%)","① 아파트 
② 단독주택(다가구 포함) 
③ 연립·다세대 주택
④ 주택 외 거주(오피스텔, 고시원, 상가, 공장 등) 
⑤ 기타(    )"
DM10,주거점유형태,"1.0 (929명, 44.6%)","2.0 (809명, 38.9%)","3.0 (285명, 13.7%)","① 자기집 
② 전세(월세없음) 
③ 보증금 있는 월세 
④ 보증금 없는 월세 
⑤ 사글세 
⑥ 무상(관사, 사택 등)"
WT,가중치,"127.043478 (207명, 9.9%)","174.668571 (175명, 8.4%)","234.88806 (134명, 6.4%)",
