도메인,질문번호,질문,1순위 답변,2순위 답변,3순위 답변,답변항목 설명
경제,Q11a6,(가구대표자용) 문11. 귀하께서는 해당 항목에 대해 어느 정도 수익을 얻고 계십니까? 최근 1개월을 기준으로 세전 소득을 말씀해주세요. - 6. 기타소득,"소득  없음 (2870명, 95.3%)","100만원 미만 (117명, 3.9%)","200~ 300만원 미만 (25명, 0.8%)","소득  없음
100만원 미만
100~ 200만원 미만
200~ 300만원 미만
300~ 400만원 미만
400~ 500만원 미만
500만원 이상"
도시 이미지·정체성,Q12a1b1,(가구대표자용) 문12. 귀하의 거주기간은 각각 얼마나 되십니까? - 1. 수원 거주 총 기간(년),"30 (228명, 33.9%)","20 (228명, 33.9%)","10 (217명, 32.2%)",
도시 이미지·정체성,Q12a1b2,(가구대표자용) 문12. 귀하의 거주기간은 각각 얼마나 되십니까? - 1. 수원 거주 총 기간(개월),"1 (659명, 41.1%)","2 (512명, 31.9%)","3 (434명, 27.0%)",
도시 이미지·정체성,Q12a2b1,(가구대표자용) 문12. 귀하의 거주기간은 각각 얼마나 되십니까? - 2. 현재 사는 집 거주 기간(년),"2 (454명, 40.2%)","3 (355명, 31.5%)","5 (319명, 28.3%)",
도시 이미지·정체성,Q12a2b2,(가구대표자용) 문12. 귀하의 거주기간은 각각 얼마나 되십니까? - 2. 현재 사는 집 거주 기간(개월),"1 (662명, 42.8%)","2 (483명, 31.2%)","3 (403명, 26.0%)",
도시 이미지·정체성,Q13,(가구대표자용) 문13. 귀하가 수원시에 거주하는 주된 이유는 다음 중 무엇입니까?,"직업(취업, 사업, 직장이전 등) (1043명, 42.1%)","가족(함께 거주, 출생, 결혼, 분가 등) (846명, 34.1%)","생활여건(교통, 문화, 편의시설 등) (590명, 23.8%)","직업(취업, 사업, 직장이전 등)
생활여건(교통, 문화, 편의시설 등)
가족(함께 거주, 출생, 결혼, 분가 등)
자연여건(건강, 녹지, 전원생활 등)
주택(주택구입, 계약만료, 재개발 등)
교육여건(진학, 학업, 자녀교육 등)
보건의료환경, 의료서비스 여건
기타"
도시 이미지·정체성,Q13op,(가구대표자용) 문13. 귀하가 수원시에 거주하는 주된 이유는 다음 중 무엇입니까?_기타,"이사를 가고싶어도 돈이 없어요 (1명, 50.0%)","모름/무응답 (1명, 50.0%)",,
도시 이미지·정체성,Q14,(가구대표자용) 문14. 귀하는 향후 5년 후에도 수원에 계속 거주하고 싶으십니까?,"거주할 의향이 있다 (2875명, 94.0%)","거주할 의향이 없다 (182명, 6.0%)",,"거주할 의향이 있다
거주할 의향이 없다"
도시 이미지·정체성,Q14_1,(가구대표자용) 문14-1. 거주할 의향이 있는 주된 이유는 무엇입니까?,"학교, 직장, 사업장 위치 (1030명, 56.0%)","편리한 생활·문화·교육 인프라 (409명, 22.2%)","쾌적한 자연환경(공원, 녹지 등) (400명, 21.8%)","학교, 직장, 사업장 위치
교통수단 편리
쾌적한 자연환경(공원, 녹지 등)
편리한 생활·문화·교육 인프라
경제적 여건(저렴한 전·월세, 낮은 물가 등)
가족, 지인 거주
일자리 만족
교육환경 만족(본인, 자녀)
의료인프라 만족
기타"
도시 이미지·정체성,Q14_1op,(가구대표자용) 문14-1. 거주할 의향이 있는 주된 이유는 무엇입니까?_기타,"살던곳이라서 (2명, 50.0%)","이사가 번거러워서 (1명, 25.0%)","기존에 계속 거주해와서 (1명, 25.0%)",
도시 이미지·정체성,Q14_2,(가구대표자용) 문14-2. 거주할 의향이 없는 주된 이유는 무엇입니까?,"더 나은 주거환경을 위해서 (40명, 41.2%)","더 나은 일자리 기회 또는 구직을 위해서 (29명, 29.9%)","통근·통학의 어려움을 해결하기 위해서 (28명, 28.9%)","주거비 부담을 줄이기 위해서
통근·통학의 어려움을 해결하기 위해서
더 나은 교육·보육 환경을 위해서
더 나은 일자리 기회 또는 구직을 위해서
더 나은 문화를 누리기 위해서
더 나은 주거환경을 위해서
가족, 친척, 친지가 사는 지역으로 이주하기 위해
기타"
도시 이미지·정체성,Q14_2op,(가구대표자용) 문14-2. 거주할 의향이 없는 주된 이유는 무엇입니까?_기타,"부동산 투자는 서울이 좋을 거 같어서요 (1명, 50.0%)","노숙자 및 담배를 길거리에서 너무 핌 , 시민의식 부족 (1명, 50.0%)",,
도시 이미지·정체성,Q14_3,(가구대표자용) 문14-3. 이주할 계획이 있는 지역은 어디입니까?,"서울 (84명, 67.2%)","경기도와 서울을 제외한 타 광역자치단체 (22명, 17.6%)","모름/미정 (19명, 15.2%)","서울
용인시
화성시
성남시
용인, 화성, 성남시를 제외한 경기도 내 시·군
경기도와 서울을 제외한 타 광역자치단체
해외
모름/미정"
도시 이미지·정체성,Q15,(가구대표자용) 문15. 귀하는 통근이나 통학을 하십니까?,"통근(직장 출근)을 한다 (2315명, 75.7%)","통근·통학을 하지 않는다 (638명, 20.9%)","통학(학교 등교)을 한다 (104명, 3.4%)","통근(직장 출근)을 한다
통학(학교 등교)을 한다
통근·통학을 하지 않는다"
도시 이미지·정체성,Q15_1,(가구대표자용) 문15-1. 귀하는 어디로 통근 또는 통학하십니까?,"현재 살고 있는 구 내 다른 동 (1059명, 55.3%)","현재 살고 있는 동 (508명, 26.5%)","수원시 내 다른 구 (348명, 18.2%)","현재 살고 있는 동
현재 살고 있는 구 내 다른 동
수원시 내 다른 구
수원시 외 경기도 다른 시
서울, 인천 등 경기도 외 지역"
도시 이미지·정체성,Q15_1a3op,(가구대표자용) 문15-1. 귀하는 어디로 통근 또는 통학하십니까? - ③ 수원시 내 다른 구_기타,"영통 (140명, 48.4%)","권선 (83명, 28.7%)","팔달 (66명, 22.8%)",
경제,Q15_1a4op,(가구대표자용) 문15-1. 귀하는 어디로 통근 또는 통학하십니까? - ④ 수원시 외 경기도 다른 시_기타,"화성 (98명, 44.1%)","용인 (84명, 37.8%)","성남 (40명, 18.0%)",
경제,Q15_1a5op,"(가구대표자용) 문15-1. 귀하는 어디로 통근 또는 통학하십니까? - ⑤ 서울, 인천 등 경기도 외 지역_기타","서울 (151명, 91.0%)","인천 (8명, 4.8%)","천안 (7명, 4.2%)",
도시 이미지·정체성,Q15_2,(가구대표자용) 문15-2. 귀하가 통근 또는 통학할 때 주로 이용하는 교통수단은 무엇입니까?,"자차(승용차) (995명, 49.5%)","시내버스, 마을버스 (705명, 35.0%)","도보 이동 (312명, 15.5%)","자차(승용차)
시내버스, 마을버스
지하철
통근버스
택시
자전거(무동력)
개인형 이동수단(전동휠, 킥보드, 전기자전거 등)
도보 이동
기타"
도시 이미지·정체성,Q15_2op,(가구대표자용) 문15-2. 귀하가 통근 또는 통학할 때 주로 이용하는 교통수단은 무엇입니까?_기타,"기차 (4명, 44.4%)","시외버스 (4명, 44.4%)","광역버스 (1명, 11.1%)",
도시 이미지·정체성,Q15_3a1,(가구대표자용) 문15-3. 귀하가 출근/등교할 때 걸리는 시간(편도)은 대략 어느 정도입니까? - 1. 시,"0 (1929명, 80.1%)","1 (442명, 18.3%)","2 (38명, 1.6%)",
도시 이미지·정체성,Q15_3a2,(가구대표자용) 문15-3. 귀하가 출근/등교할 때 걸리는 시간(편도)은 대략 어느 정도입니까? - 2. 분,"30 (560명, 44.1%)","20 (446명, 35.1%)","0 (264명, 20.8%)",
정책 인지도·만족도(체감도),Q15_4,(가구대표자용) 문15-4. 귀하의 통근·통학 환경에 대하여 전반적으로 만족하십니까?,"⑤ (968명, 46.7%)","⑥ (584명, 28.2%)","④ 보통 (522명, 25.2%)","① 전혀 만족하지 않는다
②
③
④ 보통
⑤
⑥
⑦ 매우 만족한다"
도시 이미지·정체성,Q15_5,(가구대표자용) 문15-5. 귀하께서 통근·통학 시 가장 불편한 점은 무엇입니까?,"도로 혼잡 (722명, 48.9%)","대중교통 운행횟수 부족(배차간격) (478명, 32.4%)","긴 통행거리 (277명, 18.8%)","대중교통 운행횟수 부족(배차간격)
높은 이용요금
많은 환승 횟수
긴 통행거리
도로 혼잡
차내 혼잡
주차공간 부족
개인형 이동수단 반납장소 및 거치대 미흡
기타
없음"
도시 이미지·정체성,Q15_5op,(가구대표자용) 문15-5. 귀하께서 통근·통학 시 가장 불편한 점은 무엇입니까?_기타,"오르막길 (1명, 33.3%)","차내 빌런(90% 노인) (1명, 33.3%)","신호가 자주 걸림 (1명, 33.3%)",
도시 이미지·정체성,Q16,(가구대표자용) 문16. 귀하는 평소 이동하실 때 주로 어떠한 교통수단을 이용하십니까?,"자차(승용차) (1306명, 48.2%)","시내버스, 마을버스 (1068명, 39.4%)","지하철 (335명, 12.4%)","자차(승용차)
시내버스, 마을버스
지하철
택시
자전거(무동력)
개인형 이동수단(전동 휠, 킥보드, 전기자전거 등 전기 동력을 이용한 개인이동수단)
도보 이동
기타"
도시 이미지·정체성,Q16op,(가구대표자용) 문16. 귀하는 평소 이동하실 때 주로 어떠한 교통수단을 이용하십니까?_기타,"기차 (2명, 50.0%)","셔틀 (1명, 25.0%)","광역버스 (1명, 25.0%)",
도시 이미지·정체성,Q17a1,(가구대표자용) 문17. 다음의 수원시 교통 수단이나 시설별로 관련 인프라가 얼마나 잘 구축되어 있다고 생각하십니까? - 1. 버스,"⑤ (1169명, 43.8%)","⑥ (1060명, 39.8%)","④ 보통 (437명, 16.4%)","① 전혀 구축되어 있지 않다
②
③
④ 보통
⑤
⑥
⑦ 매우 잘 구축되어 있다"
도시 이미지·정체성,Q17a2,(가구대표자용) 문17. 다음의 수원시 교통 수단이나 시설별로 관련 인프라가 얼마나 잘 구축되어 있다고 생각하십니까? - 2. 지하철,"⑤ (972명, 39.7%)","⑥ (918명, 37.5%)","④ 보통 (558명, 22.8%)","① 전혀 구축되어 있지 않다
②
③
④ 보통
⑤
⑥
⑦ 매우 잘 구축되어 있다"
도시 이미지·정체성,Q17a3,(가구대표자용) 문17. 다음의 수원시 교통 수단이나 시설별로 관련 인프라가 얼마나 잘 구축되어 있다고 생각하십니까? - 3. 택시,"⑤ (1117명, 42.2%)","⑥ (839명, 31.7%)","④ 보통 (694명, 26.2%)","① 전혀 구축되어 있지 않다
②
③
④ 보통
⑤
⑥
⑦ 매우 잘 구축되어 있다"
도시 이미지·정체성,Q17a4,(가구대표자용) 문17. 다음의 수원시 교통 수단이나 시설별로 관련 인프라가 얼마나 잘 구축되어 있다고 생각하십니까? - 4. 시외버스/고속버스,"⑤ (1142명, 43.7%)","④ 보통 (765명, 29.3%)","⑥ (704명, 27.0%)","① 전혀 구축되어 있지 않다
②
③
④ 보통
⑤
⑥
⑦ 매우 잘 구축되어 있다"
도시 이미지·정체성,Q17a5,(가구대표자용) 문17. 다음의 수원시 교통 수단이나 시설별로 관련 인프라가 얼마나 잘 구축되어 있다고 생각하십니까? - 5. 개인형 이동수단,"⑤ (991명, 40.7%)","④ 보통 (888명, 36.5%)","⑥ (556명, 22.8%)","① 전혀 구축되어 있지 않다
②
③
④ 보통
⑤
⑥
⑦ 매우 잘 구축되어 있다"
도시 이미지·정체성,Q17a6,(가구대표자용) 문17. 다음의 수원시 교통 수단이나 시설별로 관련 인프라가 얼마나 잘 구축되어 있다고 생각하십니까? - 6. 주차시설,"④ 보통 (920명, 40.1%)","⑤ (787명, 34.3%)","③ (587명, 25.6%)","① 전혀 구축되어 있지 않다
②
③
④ 보통
⑤
⑥
⑦ 매우 잘 구축되어 있다"
정책 인지도·만족도(체감도),Q18a1,(가구대표자용) 문18. 다음의 수원시 교통 수단이나 시설별로 얼마나 만족하십니까? - 1. 버스,"⑤ (1248명, 45.5%)","⑥ (1041명, 38.0%)","④ 보통 (452명, 16.5%)","① 전혀 만족하지 않는다
②
③
④ 보통
⑤
⑥
⑦ 매우 만족한다"
정책 인지도·만족도(체감도),Q18a2,(가구대표자용) 문18. 다음의 수원시 교통 수단이나 시설별로 얼마나 만족하십니까? - 2. 지하철,"⑤ (1060명, 42.5%)","⑥ (894명, 35.9%)","④ 보통 (538명, 21.6%)","① 전혀 만족하지 않는다
②
③
④ 보통
⑤
⑥
⑦ 매우 만족한다"
정책 인지도·만족도(체감도),Q18a3,(가구대표자용) 문18. 다음의 수원시 교통 수단이나 시설별로 얼마나 만족하십니까? - 3. 택시,"⑤ (1032명, 38.6%)","⑥ (879명, 32.9%)","④ 보통 (761명, 28.5%)","① 전혀 만족하지 않는다
②
③
④ 보통
⑤
⑥
⑦ 매우 만족한다"
정책 인지도·만족도(체감도),Q18a4,(가구대표자용) 문18. 다음의 수원시 교통 수단이나 시설별로 얼마나 만족하십니까? - 4. 시외버스/고속버스,"⑤ (1146명, 43.8%)","④ 보통 (811명, 31.0%)","⑥ (659명, 25.2%)","① 전혀 만족하지 않는다
②
③
④ 보통
⑤
⑥
⑦ 매우 만족한다"
정책 인지도·만족도(체감도),Q18a5,(가구대표자용) 문18. 다음의 수원시 교통 수단이나 시설별로 얼마나 만족하십니까? - 5. 개인형 이동수단,"⑤ (955명, 40.3%)","④ 보통 (930명, 39.3%)","⑥ (484명, 20.4%)","① 전혀 만족하지 않는다
②
③
④ 보통
⑤
⑥
⑦ 매우 만족한다"
정책 인지도·만족도(체감도),Q18a6,(가구대표자용) 문18. 다음의 수원시 교통 수단이나 시설별로 얼마나 만족하십니까? - 6. 주차시설,"④ 보통 (977명, 42.6%)","⑤ (744명, 32.4%)","③ (573명, 25.0%)","① 전혀 만족하지 않는다
②
③
④ 보통
⑤
⑥
⑦ 매우 만족한다"
정책 인지도·만족도(체감도),Q19a1,(가구대표자용) 문19. 다음은 수원시 교통환경을 구체화한 내용입니다. 각 항목에 대해 얼마나 만족하십니까? - 1. 교통인프라 환경,"⑤ (1259명, 46.2%)","⑥ (905명, 33.2%)","④ 보통 (560명, 20.6%)","① 전혀 만족하지 않는다
②
③
④ 보통
⑤
⑥
⑦ 매우 만족한다"
정책 인지도·만족도(체감도),Q19a2,(가구대표자용) 문19. 다음은 수원시 교통환경을 구체화한 내용입니다. 각 항목에 대해 얼마나 만족하십니까? - 2. 교통약자 이용 환경,"⑤ (1315명, 51.1%)","④ 보통 (714명, 27.8%)","⑥ (543명, 21.1%)","① 전혀 만족하지 않는다
②
③
④ 보통
⑤
⑥
⑦ 매우 만족한다"
도시 이미지·정체성,Q1a1,(가구대표자용) 문1. 다음은 수원시민들의 삶의 질을 묻는 항목입니다. 지난 한 주 동안 각 항목에 대해 느끼셨던 대로 응답해 주십시오. - 1. 행복했다,"⑤ (1078명, 39.7%)","⑥ (1021명, 37.6%)","④ 보통 (616명, 22.7%)","① 전혀 그렇지 않다
②
③
④ 보통
⑤
⑥
⑦ 매우 그렇다"
도시 이미지·정체성,Q1a2,(가구대표자용) 문1. 다음은 수원시민들의 삶의 질을 묻는 항목입니다. 지난 한 주 동안 각 항목에 대해 느끼셨던 대로 응답해 주십시오. - 2. 가치있는 존재라고 생각했다,"⑤ (1036명, 40.2%)","⑥ (965명, 37.4%)","④ 보통 (578명, 22.4%)","① 전혀 그렇지 않다
②
③
④ 보통
⑤
⑥
⑦ 매우 그렇다"
도시 이미지·정체성,Q1a3,(가구대표자용) 문1. 다음은 수원시민들의 삶의 질을 묻는 항목입니다. 지난 한 주 동안 각 항목에 대해 느끼셨던 대로 응답해 주십시오. - 3. 건강하다고 느꼈다,"⑥ (975명, 38.9%)","⑤ (973명, 38.8%)","④ 보통 (561명, 22.4%)","① 전혀 그렇지 않다
②
③
④ 보통
⑤
⑥
⑦ 매우 그렇다"
정책 인지도·만족도(체감도),Q1a4,(가구대표자용) 문1. 다음은 수원시민들의 삶의 질을 묻는 항목입니다. 지난 한 주 동안 각 항목에 대해 느끼셨던 대로 응답해 주십시오. - 4. 내 삶에 대해 만족했다,"⑤ (1124명, 43.0%)","⑥ (798명, 30.5%)","④ 보통 (694명, 26.5%)","① 전혀 그렇지 않다
②
③
④ 보통
⑤
⑥
⑦ 매우 그렇다"
도시 이미지·정체성,Q1a5,(가구대표자용) 문1. 다음은 수원시민들의 삶의 질을 묻는 항목입니다. 지난 한 주 동안 각 항목에 대해 느끼셨던 대로 응답해 주십시오. - 5. 외로웠다,"② (718명, 37.9%)","③ (613명, 32.4%)","④ 보통 (562명, 29.7%)","① 전혀 그렇지 않다
②
③
④ 보통
⑤
⑥
⑦ 매우 그렇다"
도시 이미지·정체성,Q1a6,(가구대표자용) 문1. 다음은 수원시민들의 삶의 질을 묻는 항목입니다. 지난 한 주 동안 각 항목에 대해 느끼셨던 대로 응답해 주십시오. - 6. 걱정을 많이 했다,"② (727명, 37.3%)","③ (680명, 34.9%)","④ 보통 (540명, 27.7%)","① 전혀 그렇지 않다
②
③
④ 보통
⑤
⑥
⑦ 매우 그렇다"
도시 이미지·정체성,Q1a7,(가구대표자용) 문1. 다음은 수원시민들의 삶의 질을 묻는 항목입니다. 지난 한 주 동안 각 항목에 대해 느끼셨던 대로 응답해 주십시오. - 7. 우울했다,"② (821명, 39.4%)","③ (673명, 32.3%)","① 전혀 그렇지 않다 (592명, 28.4%)","① 전혀 그렇지 않다
②
③
④ 보통
⑤
⑥
⑦ 매우 그렇다"
여가,Q20a1b1,(가구대표자용) 문20. 귀하는 지난 1년간 하루 평균 여가 시간이 어느 정도였습니까? 평일과 주말(휴일 포함) 구분하여 응답해 주십시오. - 1. 평일 시,"2 (812명, 38.9%)","3 (749명, 35.9%)","1 (528명, 25.3%)",
여가,Q20a1b2,(가구대표자용) 문20. 귀하는 지난 1년간 하루 평균 여가 시간이 어느 정도였습니까? 평일과 주말(휴일 포함) 구분하여 응답해 주십시오. - 1. 평일 분,"0 (2563명, 86.2%)","30 (331명, 11.1%)","20 (80명, 2.7%)",
여가,Q20a2b1,(가구대표자용) 문20. 귀하는 지난 1년간 하루 평균 여가 시간이 어느 정도였습니까? 평일과 주말(휴일 포함) 구분하여 응답해 주십시오. - 2. 주말(휴일 포함) 시,"5 (597명, 42.5%)","8 (414명, 29.5%)","6 (393명, 28.0%)",
여가,Q20a2b2,(가구대표자용) 문20. 귀하는 지난 1년간 하루 평균 여가 시간이 어느 정도였습니까? 평일과 주말(휴일 포함) 구분하여 응답해 주십시오. - 2. 주말(휴일 포함) 분,"0 (2708명, 91.1%)","30 (193명, 6.5%)","20 (73명, 2.5%)",
여가,Q21a1,(가구대표자용) 문21. 귀하는 평소 여가 시간이 충분하다고 생각하십니까? 평일과 주말(휴일 포함) 구분하여 응답해 주십시오. - 1. 평일,"④ 보통 (890명, 39.9%)","⑤ (843명, 37.8%)","⑥ (495명, 22.2%)","① 매우 부족하다
②
③
④ 보통
⑤
⑥
⑦ 매우 충분하다"
여가,Q21a2,(가구대표자용) 문21. 귀하는 평소 여가 시간이 충분하다고 생각하십니까? 평일과 주말(휴일 포함) 구분하여 응답해 주십시오. - 2. 주말(휴일 포함),"⑤ (1214명, 48.0%)","④ 보통 (682명, 27.0%)","⑥ (631명, 25.0%)","① 매우 부족하다
②
③
④ 보통
⑤
⑥
⑦ 매우 충분하다"
여가,Q22m1,(가구대표자용) 문22. 다음 여가활동 중 귀하가 지난 1년간 오프라인(시설/공간방문)으로 하신 활동을 모두 선택해 주십시오.(중복 응답),"활동 없음 (933명, 46.1%)","극장에서 영화 관람(TV, 컴퓨터를 이용한 영화 제외) (665명, 32.8%)","미술관, 전시회 관람(미술, 사진, 건축, 디자인 등) (428명, 21.1%)","미술관, 전시회 관람(미술, 사진, 건축, 디자인 등)
박물관 관람(역사, 일상생활, 문화 등)
서양 고전 음악공연 관람(클래식, 오페라 등)
대중공연 관람(쇼, 콘서트, 마술쇼 등)
무용공연 관람(현대무용, 발레 등)
전통예술공연 관람(국악, 민속놀이 등)
연극공연 관람(뮤지컬 포함)
문화행사 관람(작가와의 만남 및 강연, 전시)
극장에서 영화 관람(TV, 컴퓨터를 이용한 영화 제외)
야외문화행사(축제, 거리예술, 공공예술 등 관람)
활동 없음"
여가,Q22m10,(가구대표자용) 문22. 다음 여가활동 중 귀하가 지난 1년간 오프라인(시설/공간방문)으로 하신 활동을 모두 선택해 주십시오.(중복 응답),"야외문화행사(축제, 거리예술, 공공예술 등 관람) (1명, 100.0%)",,,"미술관, 전시회 관람(미술, 사진, 건축, 디자인 등)
박물관 관람(역사, 일상생활, 문화 등)
서양 고전 음악공연 관람(클래식, 오페라 등)
대중공연 관람(쇼, 콘서트, 마술쇼 등)
무용공연 관람(현대무용, 발레 등)
전통예술공연 관람(국악, 민속놀이 등)
연극공연 관람(뮤지컬 포함)
문화행사 관람(작가와의 만남 및 강연, 전시)
극장에서 영화 관람(TV, 컴퓨터를 이용한 영화 제외)
야외문화행사(축제, 거리예술, 공공예술 등 관람)
활동 없음"
여가,Q22m2,(가구대표자용) 문22. 다음 여가활동 중 귀하가 지난 1년간 오프라인(시설/공간방문)으로 하신 활동을 모두 선택해 주십시오.(중복 응답),"극장에서 영화 관람(TV, 컴퓨터를 이용한 영화 제외) (402명, 43.0%)","야외문화행사(축제, 거리예술, 공공예술 등 관람) (344명, 36.8%)","박물관 관람(역사, 일상생활, 문화 등) (189명, 20.2%)","미술관, 전시회 관람(미술, 사진, 건축, 디자인 등)
박물관 관람(역사, 일상생활, 문화 등)
서양 고전 음악공연 관람(클래식, 오페라 등)
대중공연 관람(쇼, 콘서트, 마술쇼 등)
무용공연 관람(현대무용, 발레 등)
전통예술공연 관람(국악, 민속놀이 등)
연극공연 관람(뮤지컬 포함)
문화행사 관람(작가와의 만남 및 강연, 전시)
극장에서 영화 관람(TV, 컴퓨터를 이용한 영화 제외)
야외문화행사(축제, 거리예술, 공공예술 등 관람)
활동 없음"
여가,Q22m3,(가구대표자용) 문22. 다음 여가활동 중 귀하가 지난 1년간 오프라인(시설/공간방문)으로 하신 활동을 모두 선택해 주십시오.(중복 응답),"극장에서 영화 관람(TV, 컴퓨터를 이용한 영화 제외) (212명, 44.3%)","야외문화행사(축제, 거리예술, 공공예술 등 관람) (201명, 42.0%)","연극공연 관람(뮤지컬 포함) (66명, 13.8%)","미술관, 전시회 관람(미술, 사진, 건축, 디자인 등)
박물관 관람(역사, 일상생활, 문화 등)
서양 고전 음악공연 관람(클래식, 오페라 등)
대중공연 관람(쇼, 콘서트, 마술쇼 등)
무용공연 관람(현대무용, 발레 등)
전통예술공연 관람(국악, 민속놀이 등)
연극공연 관람(뮤지컬 포함)
문화행사 관람(작가와의 만남 및 강연, 전시)
극장에서 영화 관람(TV, 컴퓨터를 이용한 영화 제외)
야외문화행사(축제, 거리예술, 공공예술 등 관람)
활동 없음"
여가,Q22m4,(가구대표자용) 문22. 다음 여가활동 중 귀하가 지난 1년간 오프라인(시설/공간방문)으로 하신 활동을 모두 선택해 주십시오.(중복 응답),"야외문화행사(축제, 거리예술, 공공예술 등 관람) (101명, 51.0%)","극장에서 영화 관람(TV, 컴퓨터를 이용한 영화 제외) (70명, 35.4%)","연극공연 관람(뮤지컬 포함) (27명, 13.6%)","미술관, 전시회 관람(미술, 사진, 건축, 디자인 등)
박물관 관람(역사, 일상생활, 문화 등)
서양 고전 음악공연 관람(클래식, 오페라 등)
대중공연 관람(쇼, 콘서트, 마술쇼 등)
무용공연 관람(현대무용, 발레 등)
전통예술공연 관람(국악, 민속놀이 등)
연극공연 관람(뮤지컬 포함)
문화행사 관람(작가와의 만남 및 강연, 전시)
극장에서 영화 관람(TV, 컴퓨터를 이용한 영화 제외)
야외문화행사(축제, 거리예술, 공공예술 등 관람)
활동 없음"
여가,Q22m5,(가구대표자용) 문22. 다음 여가활동 중 귀하가 지난 1년간 오프라인(시설/공간방문)으로 하신 활동을 모두 선택해 주십시오.(중복 응답),"야외문화행사(축제, 거리예술, 공공예술 등 관람) (49명, 51.6%)","극장에서 영화 관람(TV, 컴퓨터를 이용한 영화 제외) (38명, 40.0%)","연극공연 관람(뮤지컬 포함) (8명, 8.4%)","미술관, 전시회 관람(미술, 사진, 건축, 디자인 등)
박물관 관람(역사, 일상생활, 문화 등)
서양 고전 음악공연 관람(클래식, 오페라 등)
대중공연 관람(쇼, 콘서트, 마술쇼 등)
무용공연 관람(현대무용, 발레 등)
전통예술공연 관람(국악, 민속놀이 등)
연극공연 관람(뮤지컬 포함)
문화행사 관람(작가와의 만남 및 강연, 전시)
극장에서 영화 관람(TV, 컴퓨터를 이용한 영화 제외)
야외문화행사(축제, 거리예술, 공공예술 등 관람)
활동 없음"
여가,Q22m6,(가구대표자용) 문22. 다음 여가활동 중 귀하가 지난 1년간 오프라인(시설/공간방문)으로 하신 활동을 모두 선택해 주십시오.(중복 응답),"야외문화행사(축제, 거리예술, 공공예술 등 관람) (33명, 75.0%)","문화행사 관람(작가와의 만남 및 강연, 전시) (6명, 13.6%)","극장에서 영화 관람(TV, 컴퓨터를 이용한 영화 제외) (5명, 11.4%)","미술관, 전시회 관람(미술, 사진, 건축, 디자인 등)
박물관 관람(역사, 일상생활, 문화 등)
서양 고전 음악공연 관람(클래식, 오페라 등)
대중공연 관람(쇼, 콘서트, 마술쇼 등)
무용공연 관람(현대무용, 발레 등)
전통예술공연 관람(국악, 민속놀이 등)
연극공연 관람(뮤지컬 포함)
문화행사 관람(작가와의 만남 및 강연, 전시)
극장에서 영화 관람(TV, 컴퓨터를 이용한 영화 제외)
야외문화행사(축제, 거리예술, 공공예술 등 관람)
활동 없음"
여가,Q22m7,(가구대표자용) 문22. 다음 여가활동 중 귀하가 지난 1년간 오프라인(시설/공간방문)으로 하신 활동을 모두 선택해 주십시오.(중복 응답),"야외문화행사(축제, 거리예술, 공공예술 등 관람) (5명, 45.5%)","극장에서 영화 관람(TV, 컴퓨터를 이용한 영화 제외) (5명, 45.5%)","연극공연 관람(뮤지컬 포함) (1명, 9.1%)","미술관, 전시회 관람(미술, 사진, 건축, 디자인 등)
박물관 관람(역사, 일상생활, 문화 등)
서양 고전 음악공연 관람(클래식, 오페라 등)
대중공연 관람(쇼, 콘서트, 마술쇼 등)
무용공연 관람(현대무용, 발레 등)
전통예술공연 관람(국악, 민속놀이 등)
연극공연 관람(뮤지컬 포함)
문화행사 관람(작가와의 만남 및 강연, 전시)
극장에서 영화 관람(TV, 컴퓨터를 이용한 영화 제외)
야외문화행사(축제, 거리예술, 공공예술 등 관람)
활동 없음"
여가,Q22m8,(가구대표자용) 문22. 다음 여가활동 중 귀하가 지난 1년간 오프라인(시설/공간방문)으로 하신 활동을 모두 선택해 주십시오.(중복 응답),"야외문화행사(축제, 거리예술, 공공예술 등 관람) (4명, 66.7%)","문화행사 관람(작가와의 만남 및 강연, 전시) (1명, 16.7%)","극장에서 영화 관람(TV, 컴퓨터를 이용한 영화 제외) (1명, 16.7%)","미술관, 전시회 관람(미술, 사진, 건축, 디자인 등)
박물관 관람(역사, 일상생활, 문화 등)
서양 고전 음악공연 관람(클래식, 오페라 등)
대중공연 관람(쇼, 콘서트, 마술쇼 등)
무용공연 관람(현대무용, 발레 등)
전통예술공연 관람(국악, 민속놀이 등)
연극공연 관람(뮤지컬 포함)
문화행사 관람(작가와의 만남 및 강연, 전시)
극장에서 영화 관람(TV, 컴퓨터를 이용한 영화 제외)
야외문화행사(축제, 거리예술, 공공예술 등 관람)
활동 없음"
